Ticker,Signal,Price,1d,5d,1mo,3mo,6mo,YTD,1y,RVOL,RSI,ShortRatio,High52,Low52,SMA50,SMA200,BB_Upper,BB_Lower,Is_Squeeze,BB_Width,GC_Just_Now,DC_Just_Now,Above_SMA50,InstOwnership,InsiderOwnership,Float,Beta,ForwardPE,MarketCap,SMA50_Deviation
SGML,🐻,10.140000343322754,-1.2658238427111614,12.666670481363932,-16.95331440095858,-18.749994268783947,-5.056179273621654,-23.123573419946343,54.80916103889637,0.6780488860775934,34.22619195448023,1.73,23.649999618530273,4.679999828338623,10.868600006103515,13.438974981307984,13.951205848049423,7.9627943770177145,False,0.5465375020103945,False,False,False,0.82379997,0.03308,61071687,0.601,5.8750596,1141442688,-6.703712183460602
RIVN,,15.020000457763672,-0.7926016039491439,-2.46752707908747,-10.274786958611786,1.0767214319182736,-3.8412255582032264,-23.795022042409524,-4.876500987647834,0.8138855097818092,40.83852251574525,6.97,22.450000762939453,12.5,16.056799869537354,16.259949951171876,16.68521954249993,14.799780018809884,False,0.11976747974975098,False,False,False,0.40351,0.34539002,945395077,1.618,-8.616536,21746866176,-6.457073764372424
BFLY,🐂,9.199999809265137,-7.3514649896853355,15.577886497181808,1.7699098239742965,14.713208031792313,119.57039817723023,142.10526117657687,344.4444495634694,1.4849331202956566,63.9860113335508,5.7,9.930000305175781,1.899999976158142,8.053800067901612,5.459800018072128,9.412302702400478,6.499697476890295,False,0.3660891393529388,False,False,True,0.6148,0.1026,219927595,2.091,-184.0,2449823744,14.23178787280428
NOW,🐂🤐,140.77999877929688,2.759123196567062,1.6682296080231234,10.850392739603839,57.260951807911745,36.60004086382575,-8.101053243899573,-24.58510461164896,0.6831747026507234,54.21686632421546,1.62,189.25799560546875,83.0,124.4933999633789,116.97280998229981,149.31889458654433,127.2701053524205,True,0.15943359453188202,False,False,True,0.84812,0.0017499999,1031298022,0.972,28.125008,145547100160,13.082298997945957
RACE,🐂🤐,413.04998779296875,-0.7401574156401248,0.17218592942323377,-2.683539389058854,18.437272485439067,29.748781582045254,13.057970558097734,-13.063455455466771,1.3831805761129454,52.07177997069351,7.84,498.338623046875,311.0402526855469,403.2474005126953,364.28897857666016,423.3982239079442,401.8097778010402,True,0.05232243522165301,False,False,True,0.45848998,0.32278,173546934,0.6,32.79527,72513413120,2.430911462246318
EOSE,🐻,3.5799999237060547,-11.822660734937612,-10.050253604283867,1.1299424374029994,-41.21510945800607,-29.803921751955855,-68.76090827409,-66.38497603814841,1.2192499798320169,49.38524680267658,4.44,19.190000534057617,3.0399999618530273,3.810099997520447,7.793450011014938,4.47144014690482,3.042059899825221,False,0.3804831937684438,False,False,False,0.64489996,0.0144299995,356877106,2.779,-20.628061,1303720448,-6.039213510515148
CCJ,🐻,90.80000305175781,-2.606457382472099,-0.11000932061879509,-11.215404290409962,-14.853710079285893,-15.957050830875941,-0.7541751318424283,9.491878639965673,0.8302429260924343,38.577408502337185,2.87,134.08999633789062,79.28562927246094,94.74880050659179,105.8494998550415,108.39670999393546,86.97529241695322,False,0.21928850923000373,False,False,False,0.69758004,0.0014200001,434478989,1.012,48.84603,39546396672,-4.167649019007113
NOV,,20.280000686645508,0.6451666033565739,-1.3138616079757062,3.0666627375705664,10.986232671320217,5.308936465574055,32.085916908279295,57.48260628848545,0.5736013112730683,34.657472607328245,7.73,21.61835289001465,12.036705017089844,20.346864967346193,19.050448651313783,21.88898667528765,19.76204806134565,False,0.10213136971943208,False,False,False,1.08442,0.00732,354410552,0.944,15.844741,7229376512,-0.3286220300178545
STRL,🐻🤐,512.0,-0.1248467989523632,6.076612541967438,3.0886313020540346,-40.961450649658495,14.757036892027925,67.19458630162106,48.81558441097657,0.5065577687882977,63.43878607050148,1.8,993.739990234375,283.57000732421875,548.0410028076171,531.8042001342774,528.6955576939256,446.08744401505874,True,0.16949026303092843,False,False,False,0.89578,0.022939999,29868770,1.847,20.160458,15661321216,-6.576333271229502
IRDM,🐂🤐,48.29999923706055,0.18668358078620587,2.157361429988685,2.446926710734472,14.610687881100493,81.18334396903491,181.39577833714188,183.01617509262834,0.44336885363406126,62.44191081755146,2.56,55.53901290893555,15.518258094787598,47.558601989746094,35.55756816864014,48.17367563569624,45.99935483610551,True,0.04617714410797874,False,False,True,0.90035003,0.119169995,86776256,0.88,28.163265,5118908928,1.5589130384326733
MTA,🐂🤐,10.039999961853027,-1.083740500604808,4.801670582571572,-11.150444315168595,52.35204445193106,45.29667414700662,29.048839217195216,68.17420962640806,0.43339586133553903,52.56797591786072,3.66,11.350000381469727,5.96999979019165,9.22620002746582,7.94920001745224,11.161717339349163,9.431282691168416,True,0.16806047157930828,False,False,True,0.32369998,0.29117,66161420,2.252,64.77419,938698560,8.82053209300227
GM,,83.7699966430664,-0.21441371258983738,-0.6169228459044254,-3.491342049368403,6.324557378884295,9.867039670964262,3.6945139629982906,41.00921384085978,0.6576375199988319,46.459765902419434,4.17,90.1136474609375,54.876556396484375,84.96857116699219,80.28441307067871,88.19024156179988,82.77164274606146,False,0.06338955420005576,False,False,False,0.90193003,0.0017200001,874819186,1.321,5.570421,75765899264,-1.410609249354303
ZM,🤐,91.9000015258789,1.1001099925342726,-0.04350762939432865,-12.334255536896706,7.523107772716707,20.952879001804526,6.50133335361001,10.709552055014724,0.8462777866845047,43.41528061619213,2.08,111.87999725341797,72.72000122070312,97.10600006103516,91.02657493591309,102.15958755626124,88.65141326771337,True,0.14158695494720797,False,False,False,0.79091,0.00228,258879262,1.04,14.501399,26814922752,-5.361150219228542
PSN,🐻,43.81999969482422,-3.3311318668334935,-5.743174633782101,-10.223318045627718,-10.278461183619953,-13.107278545213807,-29.093850751140444,-45.679929726720694,0.7684491125153665,37.72859263414862,4.35,89.29000091552734,40.31999969482422,49.100999908447264,56.825350017547606,49.67430091824088,43.82569908175912,False,0.12510378259854038,False,False,False,1.0608001,0.014400001,56176433,0.702,12.815563,4680212480,-10.755382219241751
CAVA,🐻🧊,53.099998474121094,2.1153816810021033,6.712219182576891,-26.178231268128826,-35.43287955566197,-37.107665187505724,-9.524621372275789,-16.272469241220485,0.9717760003854585,29.889108464665412,4.01,97.38999938964844,43.59000015258789,63.492799606323246,72.30384983062744,71.51218050720709,45.599818623041934,False,0.44252274876370407,False,False,False,0.90002996,0.057439998,107912574,1.741,71.38152,6202408960,-16.36847201043429
GOOGL,🐻,337.8299865722656,-3.795995258808022,-2.7351511148673673,-2.568843788379425,-1.6475657045908587,16.26475901662605,8.142854295894132,37.051289868399344,1.3550958293581057,50.6482354101662,3.01,402.1211853027344,235.95635986328125,344.9079931640625,337.55389007568357,354.7445475858094,329.0873615938781,False,0.07503945237860933,False,False,False,0.80991,0.01596,10879441100,1.225,22.674356,4131638738944,-2.0521433924641035
NVR,🐻,6241.60986328125,0.8508659192092762,0.8919471477431112,-2.438105353395413,-7.734417698615282,-3.9742013454621694,-14.413729672467642,-22.335481983190007,0.8066385930146148,48.42754760987775,3.31,8178.0,5563.6201171875,6317.73400390625,6741.820051269531,6460.188032065925,6067.24004410595,False,0.06273402418608046,False,False,False,0.91196,0.05551,2620996,0.913,15.579986,16633016320,-1.2049279152609562
MAAS,⚡🐻🤐,15.0600004196167,-5.04413149040478,-10.51693114743397,-4.683542798639336,-17.524642766453518,170.3770189494396,178.88889173421344,319.4986289603137,10.008484255905424,42.64194641585721,1.64,21.239999771118164,2.859999895095825,17.00440004348755,10.384135030508041,17.60231545434527,14.560184641022165,True,0.18917253349725024,False,False,False,0.0007,0.60392,124770305,1.0,0,6659164672,-11.434685251453661
A,🐂🔥🚀,165.32000732421875,2.087195771184125,7.567183745244846,7.749472212752264,25.836047927378846,45.37299017810265,22.225805902106423,33.98185637577402,1.256609205450074,72.665698254521,2.76,165.32000732421875,109.77787780761719,146.60940063476562,131.3809720993042,163.6464240460245,141.31157613708098,False,0.1464781897542156,False,False,True,0.95478,0.00195,280964657,1.241,24.465214,46608482304,12.762214843279473
CVS,🐻🧊,85.86000061035156,-1.9862989658425207,-6.389010610947132,-8.766337208048586,-15.194312046208971,19.711293239450733,10.719345442124078,15.979568594056225,1.0588499919405654,6.582837356730153,2.32,109.91949462890625,69.04280853271484,98.12321792602539,86.5185665512085,100.14803616531348,87.01296313278222,False,0.14036121929025105,False,False,False,0.90815,0.00063,1276463587,0.58,10.067197,109812400128,-12.497773284319932
FRO,🐂🔥,47.560001373291016,-4.51716510332499,-5.414817173372637,15.241470098666673,24.665679345948522,49.478930781057414,150.48487415251498,130.9074403827329,1.404865354658821,71.94192258729649,4.38,51.41999816894531,17.90816307067871,40.27795219421387,31.79628833770752,52.56546943286531,37.162362216914964,False,0.3433295318239881,False,False,True,0.39360002,0.35786998,142919442,0.063,10.388499,10587944960,18.07949208530828
EBAY,,109.08999633789062,0.7294489971115381,-0.07328188366448554,2.1868414174959176,-0.02587687543546181,23.1481795681068,26.397065329877684,18.337888532682893,0.7575364327612012,58.573215086554136,3.83,118.27152252197266,78.68736267089844,107.90016998291016,99.58203437805176,112.36860357903693,100.71668008185175,False,0.10936394383507456,False,False,True,0.95335,0.10029,399783550,1.339,16.245186,48545046528,1.102710361965991
VAL,🐂🛒,82.56999969482422,0.9536603136885365,0.060595072457524046,-3.7757813261294633,9.335279879683473,-15.710493602983158,63.82935951386226,62.53937191909687,1.103633361216697,42.0655662814123,6.2,113.41999816894531,46.75,82.56740036010743,81.33709985733032,90.95992675987925,79.89607375891957,False,0.12951085086113034,False,False,True,0.93935996,0.12031999,61053516,0.939,11.551483,5733314560,0.0031481368015155086
MNST,🐻,43.90999984741211,-0.20454580133611508,-1.4808163606264353,-10.241207091282309,-7.265044852301523,20.301369444964685,14.542848300725723,35.25334865557332,0.9437613320892211,39.32805608956237,4.15,49.970001220703125,32.29499816894531,46.39880012512207,42.16940008163452,48.018342537912304,41.615657858816206,False,0.14286285674536925,False,False,False,0.69587,0.283,1812808550,0.515,33.540592,86021963776,-5.363932409886677
DOW,🐻,28.649999618530273,1.3441781203163865,-4.753990388307141,-7.8165537974390285,-1.3530417300934394,-23.578218197366233,26.70639893484927,29.97854523654755,0.8937788991948699,37.61970179084655,4.43,40.97304916381836,19.678743362426758,29.9588712310791,31.206735763549805,31.1403532229656,28.220461634517306,False,0.09837774617678513,False,False,False,0.79497004,0.0021,720592646,0.424,16.102018,20695062528,-4.368894950858544
TLT,🐻,80.45999908447266,-1.5779827712872705,-1.614086224660577,-3.2367182603396314,-6.8194874761814805,-5.178755040893591,-4.850188972385401,-5.432289554723367,1.6802655891144984,36.57662165561667,0.0,88.44929504394531,80.45999908447266,82.13936141967774,84.29281215667724,83.15264675960749,80.22768389835149,False,0.03580556912177504,False,False,False,0.0,0.0,0,1.0,-4023.0,0,-2.044528111954335
AVY,🐂,172.66000366210938,1.9665752052475167,0.2205739990161677,-5.458414621409922,6.4440363492762,5.337746142221111,-3.4295043111927495,8.868429678817598,0.4463201769379358,51.17576154171755,2.53,194.09727478027344,152.1259002685547,171.07057586669922,171.18508750915527,179.92659969036052,165.6787241011434,False,0.08245171360735497,False,False,True,1.0040799,0.00641,75223520,0.814,15.435035,13206830080,0.9291064739553259
CPNG,🐻🧊,14.279999732971191,-2.3255824572456127,-0.8333325606805102,-13.138690577361606,-19.59459713435907,-22.89417181420777,-39.46587689443217,-55.43071371745572,0.6693143880007563,28.53107253310918,4.24,32.83000183105469,14.279999732971191,15.853600158691407,18.607150053977968,16.914613613511143,13.665386500929776,False,0.21250667759461334,False,False,False,0.83726996,0.0063,1343496196,1.152,52.413284,25633515520,-9.925823850537329
ILMN,🐂🔥🚀,255.3800048828125,6.934091387122406,11.553755756455509,14.407312734629002,45.8564225393993,102.71471509589945,94.70875095483765,170.5010009286834,0.6240080079209965,73.71008082136849,4.74,255.3800048828125,91.0,206.34059936523437,157.2523997116089,250.58887063252686,192.33213003885984,False,0.26305702599497666,False,False,True,1.06486,0.0021,149776900,1.467,41.831905,38562381824,23.766241674415053
TTWO,🐻,206.32000732421875,-1.7149346780335146,-2.5919410309498185,-11.64025382260439,-12.490985458103115,7.812098337503978,-19.415690228522465,-15.484183413498439,0.8368094081642897,38.96465188248067,3.22,262.2900085449219,189.69000244140625,231.54479858398437,226.2538000488281,236.0042272637449,199.18677157658715,False,0.1692013657693585,False,False,False,0.99911004,0.01779,186140901,0.966,20.046309,38577807360,-10.894129954129053
SHOP,⚡🐂,142.33999633789062,-3.65507577805207,10.684284278583235,-7.49935545798181,27.521943052675013,20.19928942645275,-11.573588085688854,-4.360683607684983,2.1920459245532706,50.386450325412696,1.83,179.00999450683594,95.4000015258789,137.17800033569335,130.08945007324218,157.24695657214014,120.01704336682471,False,0.2685520890812438,False,False,True,0.73190004,0.00233,1205804094,2.616,58.088947,183140892672,3.762991142577643
DHR,🐂,221.55999755859375,2.6501118039997764,6.335187612581719,2.9984644739626294,17.5515727697136,17.03992759723479,-2.807566068558083,20.055145399109616,0.8834480224338866,68.38401827219465,2.83,241.03509521484375,161.57479858398438,204.59859954833985,201.35457321166993,221.72925363371212,198.83074545076056,False,0.108895321632109,False,False,True,0.84405,0.1096,625868484,0.808,23.828087,155753594880,8.290085097208346
EQX,🐂🤐,12.050000190734863,-0.904602451131249,4.058724267058459,-12.42732565191193,28.860769976118313,-3.904183610686692,-13.816502654154995,15.349505503122979,1.2031660590696343,48.58387591339302,2.61,18.682228088378906,8.60268497467041,11.286550178527833,13.187048811912536,13.850091013260194,11.340908971481017,True,0.19921257935763154,False,False,True,0.53972,0.03437,1056632861,2.492,7.920024,14067891200,6.764245939910504
CRDO,🐻,193.8699951171875,0.6803061774006999,15.227337365341754,-14.409959905174684,-27.66854605822489,86.5749093298145,34.734864090307774,29.783095983479896,0.8700603860011731,68.52449732630872,1.54,302.5199890136719,87.80999755859375,210.5147006225586,175.90857536315917,240.4296202750362,126.6703812508427,False,0.6197724791683172,False,False,False,0.73601997,0.09433,170885884,3.228,19.976568,36438237184,-7.906671342261339
PAA,🧊🤐,24.440000534057617,-2.2008773193195488,-3.8552302883360383,-2.0833276021172793,15.783196543925168,13.944124015351548,44.02856247487795,48.81107103541208,0.5647367274365498,26.79738032476044,5.88,26.100000381469727,14.640755653381348,24.51257915496826,21.294181442260744,26.359225045115437,24.707775153248818,True,0.0646777717685292,False,False,False,0.41581002,0.3419,463521886,0.488,12.808017,17244045312,-0.29608724749771353
POET,🐻🤐,7.800000190734863,-4.528762326853251,3.8615173503956797,-3.465343262562358,-23.00098615383529,27.868857584919816,23.222753313528646,28.925618922789425,0.972483263291634,55.50756173084263,1.96,20.56999969482422,4.170000076293945,7.897999982833863,8.311799983978272,8.504849364780377,6.94115063903432,True,0.2024729671578234,False,False,False,0.20471,0.00068000006,172336107,0.841,-45.882355,1349853056,-1.2408178312484166
CP,,88.27999877929688,1.6933547541121918,0.6843048266797002,-6.759612912178079,4.354926495886827,11.88426497894163,20.40893331399193,19.97495371216656,0.7925067546674371,47.33589728181399,8.12,96.69000244140625,68.58702087402344,91.44600021362305,83.9552693939209,95.28549171030353,85.53650764882734,False,0.10782962356382002,False,False,False,0.76199996,0.00044,832391326,1.22,20.711296,77605109760,-3.46215408758198
